row_id,date,country,store,product,num_sold
35040,2019-01-01,Belgium,KaggleMart,Kaggle Advanced Techniques,531
35041,2019-01-01,Belgium,KaggleMart,Kaggle Getting Started,463
35042,2019-01-01,Belgium,KaggleMart,Kaggle Recipe Book,370
35043,2019-01-01,Belgium,KaggleMart,Kaggle for Kids: One Smart Goose,585
35044,2019-01-01,Belgium,KaggleRama,Kaggle Advanced Techniques,197
35045,2019-01-01,Belgium,KaggleRama,Kaggle Getting Started,150
35046,2019-01-01,Belgium,KaggleRama,Kaggle Recipe Book,121
35047,2019-01-01,Belgium,KaggleRama,Kaggle for Kids: One Smart Goose,195
35048,2019-01-01,France,KaggleMart,Kaggle Advanced Techniques,488
35049,2019-01-01,France,KaggleMart,Kaggle Getting Started,392
35050,2019-01-01,France,KaggleMart,Kaggle Recipe Book,298
35051,2019-01-01,France,KaggleMart,Kaggle for Kids: One Smart Goose,524
35052,2019-01-01,France,KaggleRama,Kaggle Advanced Techniques,168
35053,2019-01-01,France,KaggleRama,Kaggle Getting Started,141
35054,2019-01-01,France,KaggleRama,Kaggle Recipe Book,101
35055,2019-01-01,France,KaggleRama,Kaggle for Kids: One Smart Goose,161
35056,2019-01-01,Germany,KaggleMart,Kaggle Advanced Techniques,546
35057,2019-01-01,Germany,KaggleMart,Kaggle Getting Started,459
35058,2019-01-01,Germany,KaggleMart,Kaggle Recipe Book,407
35059,2019-01-01,Germany,KaggleMart,Kaggle for Kids: One Smart Goose,631
35060,2019-01-01,Germany,KaggleRama,Kaggle Advanced Techniques,191
35061,2019-01-01,Germany,KaggleRama,Kaggle Getting Started,163
35062,2019-01-01,Germany,KaggleRama,Kaggle Recipe Book,140
35063,2019-01-01,Germany,KaggleRama,Kaggle for Kids: One Smart Goose,222
35064,2019-01-01,Italy,KaggleMart,Kaggle Advanced Techniques,436
35065,2019-01-01,Italy,KaggleMart,Kaggle Getting Started,350
35066,2019-01-01,Italy,KaggleMart,Kaggle Recipe Book,279
35067,2019-01-01,Italy,KaggleMart,Kaggle for Kids: One Smart Goose,477
35068,2019-01-01,Italy,KaggleRama,Kaggle Advanced Techniques,157
35069,2019-01-01,Italy,KaggleRama,Kaggle Getting Started,111
35070,2019-01-01,Italy,KaggleRama,Kaggle Recipe Book,97
35071,2019-01-01,Italy,KaggleRama,Kaggle for Kids: One Smart Goose,157
35072,2019-01-01,Poland,KaggleMart,Kaggle Advanced Techniques,188
35073,2019-01-01,Poland,KaggleMart,Kaggle Getting Started,169
35074,2019-01-01,Poland,KaggleMart,Kaggle Recipe Book,123
35075,2019-01-01,Poland,KaggleMart,Kaggle for Kids: One Smart Goose,198
35076,2019-01-01,Poland,KaggleRama,Kaggle Advanced Techniques,67
35077,2019-01-01,Poland,KaggleRama,Kaggle Getting Started,50
35078,2019-01-01,Poland,KaggleRama,Kaggle Recipe Book,45
35079,2019-01-01,Poland,KaggleRama,Kaggle for Kids: One Smart Goose,63
35080,2019-01-01,Spain,KaggleMart,Kaggle Advanced Techniques,328
35081,2019-01-01,Spain,KaggleMart,Kaggle Getting Started,277
35082,2019-01-01,Spain,KaggleMart,Kaggle Recipe Book,238
35083,2019-01-01,Spain,KaggleMart,Kaggle for Kids: One Smart Goose,341
35084,2019-01-01,Spain,KaggleRama,Kaggle Advanced Techniques,116
35085,2019-01-01,Spain,KaggleRama,Kaggle Getting Started,96
35086,2019-01-01,Spain,KaggleRama,Kaggle Recipe Book,80
35087,2019-01-01,Spain,KaggleRama,Kaggle for Kids: One Smart Goose,134
35088,2019-01-02,Belgium,KaggleMart,Kaggle Advanced Techniques,439
35089,2019-01-02,Belgium,KaggleMart,Kaggle Getting Started,381
35090,2019-01-02,Belgium,KaggleMart,Kaggle Recipe Book,303
35091,2019-01-02,Belgium,KaggleMart,Kaggle for Kids: One Smart Goose,537
35092,2019-01-02,Belgium,KaggleRama,Kaggle Advanced Techniques,147
35093,2019-01-02,Belgium,KaggleRama,Kaggle Getting Started,135
35094,2019-01-02,Belgium,KaggleRama,Kaggle Recipe Book,116
